method,email,cardNo,expiryDate,CVV,,,,,,,,,
Visa Card,12345@yahoo.com,4000500060007000,20221010,111,,"说明：
只需要 cardNo与CVV匹配即可支付",,,,,,,
Visa Card,78900@gmail.com,4123523463457456,20251115,222,,,,,,,,,
Master Card,45678@qmul.ac.uk,4098765432109876,20300523,333,,,,,,,,,
Paypal,10000@gmail.com,1231231231231231,20250624,444,,"非法输入说明：
1、email 只需验证符号“@”是否存在，存在则通过，反之为非法输入
2、cardNo默认为16位数字
·字符（？/ ；等）、字母（A-Z a-z），小于或大于16位数字均为非法输入
·Visa卡号须以数字“4”开头
3、CVV为安全码，默认3位数字
·字符（？/；等）、字母（A-Z a-z），小于或大于3位数字均为非法输入

",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
